insert into places(address_line_one, address_line_two, notes) VALUES ('442 Wrinkleproof Meadow', 'Boulevard, Mt, 41120', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1288 Macchie Jctn', 'Lovelaceville, Mn, 91984', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2617 Quasi-endlessly Canyon', 'Chicago, In, 35640', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('76 Coates Strm', 'Harrogate, Fm, 71318', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('40 Encrust Frst', 'Pageton, Ks, 17025', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1200 Decolourization Keys', 'Ellamore, Ks, 88654', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2647 Inquisitorious Ridge', 'Long beach, Ms, 32791', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('837 Reassurances Station', 'Westons mills, Co, 80495', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2964 Orographic Route', 'Front royal, Mt, 63024', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1095 Ice-laid Shoar', 'Shepherd, Sd, 30291', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1806 Clathrinidae Fords', 'Melmore, Ut, 20251', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2580 Schopenhauerism Mntns', 'Agat, Nj, 90550', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2765 Undisciplinable Rivr', 'Klemme, Wv, 92776', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('775 Emarginating Anex', 'Philpot, Mt, 75438', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1241 Hayton Un', 'Broxton, Vi, 10978', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2571 Glances Rnchs', 'Pennock, Gu, 75139', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1750 Impuberal Trlr', 'East canton, Fm, 82888', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2943 Self-mover Corners', 'East new market, Ca, 41357', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('655 Hypopepsinia Land', 'Ambrose, Fm, 11524', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('481 Fiery-hoofed Av', 'Baldwin city, Co, 71131', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('374 Superlucky Road', 'Lu verne, Mo, 33522', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1158 Pawnage ', 'Willshire, Ct, 62165', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1843 Pseudosemantically Keys', 'Mount rainier, Mt, 48478', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2884 Thomastown Hway', 'Halfway, Gu, 68925', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('308 Longicorn Bridge', 'Dunnigan, Nc, 58047', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1462 Captaincook Stravn', 'Jenners, Mh, 71103', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('267 Annular Ally', 'Colwich, Ok, 33954', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1035 Flidge Frk', 'Canyon dam, Md, 63402', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2566 Preoccasioned Fords', 'Gilman city, Ga, 21243', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1814 Polyoxymethylene Cent', 'South pasadena, Ks, 86309', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('611 Procedendo Alley', 'Elmer, Nj, 69059', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('70 Sociography Ter', 'Lewes, Id, 82821', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1908 Usa Hill', 'Timewell, Sc, 91565', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2812 Dimerous River', 'Hennessey, Wa, 12186', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2260 Clogmaking Crcl', 'Linton, Wv, 86191', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('89 Understand Lf', 'Village of nagog woods, In, 94626', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1552 Scalades Sprngs', 'Harpersville, Pr, 78617', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2350 Sea-food Expw', 'Mustang, Id, 82237', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2013 Astydamia Junctn', 'Saint helen, Ne, 59062', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1262 Fumattoria Cor', 'North truro, Ms, 64367', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1430 Grouched Lf', 'Mount tabor, Wa, 54196', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2964 Scorkle Fwy', 'Mint spring, Mh, 65443', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2999 Sylphic Smt', 'Piney point, Ca, 52762', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2041 Horkey Bluf', 'Bishopville, Nh, 96117', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1696 Bovver Ally', 'Marlborough, Vi, 81135', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2151 Leonnoys Wells', 'Kanorado, Ms, 42217', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1824 Boredness Mnr', 'Clinchco, Mp, 87359', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2957 Semifinal Frst', 'Vershire, Ks, 32863', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2307 Paybox Motorway', 'Mount savage, Pw, 92751', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1648 Edley Ln', 'Appleton, Or, 28658', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1138 Grantor Crossroads', 'Velma, Ca, 96968', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2799 Whippers Cove', 'Beech bluff, Mo, 12681', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1699 Monopolist Course', 'Ozone park, Ga, 62946', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2442 Mund Bridge', 'Walhonding, Ms, 73173', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1678 Uncorner Valleys', 'Kingsland, Il, 33868', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('711 Pries Pine', 'Macdoel, Ma, 73055', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1633 Postretinal Ests', 'West topsham, Pr, 12755', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1305 Juni Pt', 'North benton, Fl, 25153', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2914 Quantics Vlly', 'Alcoa, , 90541', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1312 Begoniaceae Forg', 'Isle of wight, Nd, 34897', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2117 Axenic Circle', 'Kendall park, Ga, 99414', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1474 Gaging Ways', 'Lizemores, Ri, 95815', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1829 Interregna Arcade ', 'Frisco city, , 15329', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('77 Foolhardihood Lf', 'Art, Nv, 85816', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1390 Adrien Plns', 'Saint amant, Al, 84641', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('44 Branch-embellished Trk', 'Indialantic, Dc, 23031', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('258 Nonassociation Grdns', 'Davy, Pw, 49015', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1776 Overthrown Junctions', 'Liberty corner, Va, 91889', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('493 Wallies Junctions', 'Walnut hill, Gu, 21431', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2637 Canmaker Trnpk', 'Romulus, Ks, 74686', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2930 Nighs Jcts', 'Gateway, Wv, 14635', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2830 Isonymy Drives', 'Otterbein, Mh, 24799', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1451 Moit Canyon', 'Shinnston, Ga, 91711', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2451 Ore-weed Trlrs', 'Island lake, Ut, 69607', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2 Calquing Bot', 'Cooksburg, Nd, 13565', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('203 Propugnaculum Lodg', 'Kimball, Ct, 96960', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1396 Discriminability Vdct', 'Kittery point, Nj, 83677', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('550 Hypercharge Junction', 'Yukon, Nh, 11990', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1250 Dunnages Crsent', 'Gerrardstown, De, 73191', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1762 Morpho- Byp', 'Three forks, Tx, 42950', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1582 Ornithol Avenu', 'Makanda, Wi, 84646', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('47 Lemuria Sprng', 'Edenton, Mo, 31494', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1986 Camphoronic Rdgs', 'Elaine, De, 28919', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('943 Megadeath Streme', 'Moravia, Mt, 64918', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1755 Sagapenum Track', 'Ariel, Ga, 92745', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1666 Massillon Rue', 'Center strafford, Ma, 22606', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('475 Henotheism Pkway', 'Otter rock, Nh, 17747', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2200 Evil-favoredness Prt', 'Coalgood, Ok, 84614', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('412 Inhabitants Trailer', 'Angel fire, De, 83547', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('537 Odyles Flds', 'Slatington, Ia, 58404', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1436 Phyllophagous Exts', 'Mount holly springs, Mh, 78948', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2052 Commeddle Locks', 'Ravenden, Nj, 44421', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2438 Exsects Streme', 'Tuscarawas, Pa, 60986', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('775 Unsays Gatway', 'Chloe, Md, 39411', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2331 Unparch Brk', 'Purdy, Az, 60734', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2599 Hirundo Grov', 'Trufant, Md, 24493', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('386 Fearingly Orchard', 'Maud, Il, 41958', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1643 Pericardiacophrenic Orchard', 'Eastabuchie, Ia, 82988', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1017 Brogueneer Dale ', 'Southgate, Sd, 77916', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1129 Whats-his-name Gatewy', 'Two buttes, Ct, 82672', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1817 Sumps Plz', 'Leona, Ri, 84688', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1928 Shortly Boulv', 'Unicoi, Il, 36421', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('166 Ismaelitish Streme', 'Beecher city, Co, 18504', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2534 Misconstrued Div', 'Grenloch, Ri, 69016', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('798 Dueful Juncton', 'Mayaguez, Md, 26680', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1464 Cataphora Clb', 'Goodhue, Vt, 64970', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2086 Phillada Estate', 'Apache junction, Pw, 82506', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('694 Chiquia Hwy', 'New franklin, Ia, 44243', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2859 Implacable Estates', 'Mount union, Nv, 84767', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2108 Right-sidedness Lndg', 'Montoursville, Sc, 27077', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2056 Sage-colored Path', 'Rose creek, Ne, 85119', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2595 Ejaculator Lodg', 'Bard, Wa, 97869', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1460 Vandalizes Prk', 'Driscoll, Ok, 81543', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('717 Leggiero Throughway', 'Gate, Ia, 64357', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2407 Pyrenoid Rnch', 'Springtown, Nm, 57562', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1837 Ciphered Rd', 'Republican city, Pa, 37476', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2287 Nearctic Prts', 'Arbuckle, Or, 71276', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1908 Gossiping Ways', 'Boyne falls, Sd, 36824', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('205 Blakelee Is', 'Marion center, Md, 33632', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('821 Day-loving Vlly', 'Encino, Nc, 14040', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1554 Involuntarily Ldg', 'Finlayson, , 46781', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1142 Pendative Crk', 'Houma, Pr, 43844', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1422 Quasi-appealing Ter', 'Mancos, In, 32355', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('124 Poppers Gatway', 'Filer, Ut, 64720', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('107 Metanoia Grn', 'Holdenville, Mi, 45172', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2590 Odorator Vws', 'Dewittville, Mh, 17230', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1857 Altimetrical Flts', 'Barhamsville, Ap, 60575', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2286 Magas Cntr', 'Comer, Tx, 78297', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('610 Knives Brdge', 'Turnersburg, Ky, 42012', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('33 Subunequally Vws', 'Ciales, Ok, 58045', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('577 Anger Track', 'Terrebonne, , 68977', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2693 Repercussions Trace', 'Ashfield, , 50543', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('975 Keywords Mews', 'Entriken, La, 95247', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2858 Divertimento Land', 'Anoka, Wi, 21193', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('118 Osteothrombosis Cnyn', 'Beason, , 43885', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2689 Warranties Views', 'Opp, Tx, 54897', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2510 Harpwise Ky', 'Apex, Nv, 32949', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2175 Misserve Station', 'Byfield, Sc, 92603', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('779 Insatisfactorily Parks', 'Lowell, Tn, 82267', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1667 Matelotte Harbr', 'Kress, Ak, 45001', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('652 Acromyodic Landing', 'Otho, Pw, 22608', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1618 Devil-diver Knol', 'Bovina center, Gu, 46023', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2874 Prehistory Hllw', 'College point, Nv, 13276', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('447 Schistosternia Crossing ', 'Lake mills, Oh, 30649', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('431 Clawhammer Shores', 'Kendleton, Mh, 77480', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1686 Hawi Creek', 'Buckhead, Me, 49623', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('236 Cann Common', 'Fernwood, Wi, 97397', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('390 Ilongot Flats', 'Menemsha, Il, 96161', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1996 Undoubled Extn', 'Grain valley, Fm, 42175', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('517 Even-mindedness Bluf', 'Whitharral, Nc, 95450', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2053 Infracaudal Pkwy', 'East durham, Ca, 86017', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2966 Dicephalus Ville', 'Carteret, Al, 94997', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1578 Statedly Statn', 'Limaville, Wy, 87161', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1221 Forrel Stravenue', 'Walnut ridge, Az, 83990', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2811 Interlocutrices Rest', 'Brohard, Tx, 40346', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1346 Kappie Flats', 'Heflin, Mn, 30176', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2216 Gaseous Centers ', 'Hickory hills, Va, 30956', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('279 Phacopidae Express', 'Stone mountain, Id, 43587', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1706 Globing Ct', 'Henley, Ae, 64159', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('72 Barram Corners', 'Huron, Mp, 70865', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1314 Cicoree Terr', 'Mascotte, Ca, 69861', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('502 Single-cut Crse', 'Lithia, As, 29991', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('140 Schizaeaceous Throughway', 'Kitzmiller, Co, 82188', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('168 Joisting Highwy', 'Granite springs, Or, 90761', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2370 Sardonyx Spring', 'Notus, Wv, 75931', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2709 Turquoise-hued Gln', 'Millbrae, Oh, 90526', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1636 Cymlings Frd', 'Caneyville, Fl, 92316', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('651 Unintrenched Brk', 'Arverne, Pw, 60434', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2630 Tocci Br', 'Caneadea, Pr, 63672', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1484 Ticket-vending Club', 'Deerfield street, Mh, 16601', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1837 Water-line Frt', 'Trenary, Ky, 71626', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('37 Lowers Jctn', 'Selbyville, Sd, 15193', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('355 Mesothoraces Strvn', 'Newmanstown, Oh, 68240', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2392 Engelhard Vlg', 'Cosmos, Mi, 84740', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1370 Lost Frks', 'Strasburg, Va, 24029', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2987 Curably Fields', 'Cochranville, Nm, 83770', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2023 Blathers Burgs', 'Fort jones, , 50302', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2816 Unoriental Vlg', 'Canjilon, Me, 78374', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2062 Brescian Shoar', 'Paulden, Dc, 75238', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2379 Leaf-sheltered Radiel', 'Ponderay, Mh, 63015', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2407 Ill-directed Vly', 'Galveston, Mp, 33520', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2463 Powdry Trce', 'Robinson creek, Nh, 79083', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1190 Cosie Clf', 'Kulpmont, Ms, 13669', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1254 Micronize Crossing ', 'Heflin, Fl, 91502', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1891 Parlesie Fls', 'Batchelor, Ap, 91130', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2698 Uredineous Mills', 'Saint martinville, Sd, 16684', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('71 Reissuers Glens', 'Pell city, Hi, 32142', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2140 Gents Junctn', 'Indian wells, Me, 15255', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1643 Dumpiness Vlgs', 'Menard, Va, 55665', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1137 Reprobator Field', 'Colwell, Pa, 93964', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2190 Skullcaps Gardens', 'Lingle, Ap, 43418', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1779 Lees Pike', 'Mcintosh, Mh, 29742', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('775 Bombyciform Statn', 'Rye beach, Hi, 28792', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2631 Jussive Drive', 'Albin, Id, 31014', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2456 Musk Corner', 'Debord, Vi, 56042', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2389 Christenings Shoal', 'Wadmalaw island, Nh, 34242', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2727 Radical Oval', 'Marcella, Ga, 39388', '');
