insert into places(address_line_one, address_line_two, notes) VALUES ('655 Messengership Locks', 'Wanchese, Al, 66005', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1930 Zielsdorf Traces', 'Buffalo creek, Vt, 96533', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2379 Tekedye Annx', 'Maine, Mt, 72063', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('263 Delanie Circ', 'Dustin, Mh, 25341', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1774 Perodactylus Rdgs', 'South dennis, De, 84406', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('620 Heavyhanded Lndg', 'Kennebunkport, Fm, 89997', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2872 Cynthia Circ', 'Batavia, , 54154', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1658 Intraselection Riv', 'Gobler, Pw, 38343', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('245 Pluggingly Trail', 'Bardolph, Mp, 47616', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('3000 Overzeal Expw', 'Rileyville, Ae, 79552', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('860 Odoric Knoll', 'Sarver, Ca, 97076', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('134 Barony Dl ', 'Clarksville, Nj, 33497', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2823 Lincloth Lodge', 'Bonaparte, Vi, 42888', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1004 Short-skirted Expr', 'Bradgate, Ne, 94857', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1654 Biogenetically Strvn', 'Mcgrew, Ma, 89707', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2570 Lyssophobia Rnchs', 'Ewell, Ks, 54009', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1459 Bemeaning Jcts', 'Eagle rock, Ms, 89720', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1172 Party Boulv', 'Piseco, Ne, 76075', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('15 Manawa Cres', 'Spiceland, Wi, 74612', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1333 Clergies Wells', 'Wiergate, Ca, 33758', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1269 Nonfimbriated Vst', 'Depauville, Vi, 62782', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('808 Bopp Sta', 'South otselic, Ap, 59731', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2032 Shadchanim Ovl', 'Clairfield, Ne, 79706', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2017 Insatiately Cnyn', 'O kean, Ok, 98931', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('988 Moses Shores', 'River grove, Wv, 79295', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('384 Aiming Byp', 'Otho, In, 30437', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('512 Unstraightened Wells', 'Jeannette, Mh, 95082', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1723 Binarium Rest', 'Fort apache, Ae, 87053', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('128 Signatures Gln', 'Fort smith, Mn, 50818', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1370 Buat Union', 'Flora vista, Mt, 60183', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('637 Suffolk Cpe', 'Trivoli, Ak, 60857', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('352 Dungarees Spurs', 'Mansura, Ia, 59886', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('863 Epimerum Brnch', 'Parthenon, Oh, 79347', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1363 Evanescency Lane', 'Holualoa, Az, 58323', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('920 Interpulmonary Flat', 'Letcher, Fm, 21332', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('179 Bierce Hill', 'Tina, Ia, 65051', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('186 Fluxility Prk', 'Harrold, Wi, 19548', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1883 Redeclare Gardens', 'Loyalton, Sd, 45881', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('323 Capablanca Tunl', 'Kathleen, Gu, 26360', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1392 Scatteredness Neck', 'Arminto, Fl, 10754', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2850 Genom St', 'Prairieburg, Md, 93491', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('547 Crumple Falls', 'Hickory flat, Nd, 70615', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('553 Unbandaging Path', 'Farmer, Id, 28352', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2206 Floppily Frd', 'Powersite, Nd, 74158', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1550 Banksmen Lks', 'Collbran, Co, 70921', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('884 Cisatlantic Cent', 'Hualapai, Sc, 58570', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2528 Eulamellibranchia Lck', 'Saipan, De, 51919', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1786 Three-layered Neck', 'Menomonie, Mt, 36452', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('858 Buttock Valleys', 'Crooks, As, 66974', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1022 Viticulturist Mountin', 'Peekskill, Mp, 98031', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('646 Parsonhood Ferry', 'Fifty six, Ia, 62849', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1936 Bacis Plza', 'Munster, Mh, 90628', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('459 Reparel Plain', 'Wappapello, Dc, 76316', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1954 Footlike Crcl', 'Soulsbyville, Tn, 22636', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1795 Explorable Sta', 'Seltzer, Ri, 99538', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1510 Lulling Dv', 'Haywood, Wy, 14301', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2745 Clunker Plns', 'Floyd, Ma, 45117', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2210 Diverge Knolls', 'Clermont, De, 97028', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('847 Storekeepers Harbr', 'Big flat, Ny, 99426', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1239 Guariba Park', 'Meshoppen, Gu, 90483', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2439 Quasi-prepositionally Hwy', 'Oyster, Va, 37713', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2177 Autophotometry Junction', 'Statesville, Fm, 95077', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1945 Outsings Exts', 'Fort stewart, In, 59805', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1538 Tulchin Crossroad', 'Axis, Vt, 11818', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1172 Gunned Cir', 'Tippo, Sd, 40855', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1641 Underarming Land', 'Lock haven, Mn, 31025', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1897 Threateningness Haven', 'Mangum, Va, 23460', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('918 Chronogrammic Ky', 'Olive hill, Pa, 94736', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1140 Amesace Cor', 'Mc gaheysville, Tn, 13796', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('372 Dacite Rivr', 'Lowland, Tn, 11972', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('807 Filibusterer Frwy', 'Gettysburg, Oh, 93259', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('274 Retender Isles', 'Hailesboro, , 83401', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1207 Fish-skin Cliffs', 'Gays mills, Ae, 51262', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2952 Perodactylus Fort', 'Glen aubrey, Ga, 91717', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1548 Hjordis Fld', 'Monette, Ct, 15607', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1200 Ozoner Centre', 'Meddybemps, Ut, 73618', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1924 Nonzodiacal Ext', 'Fort lauderdale, Ne, 63223', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1552 Kelli Crse', 'Waltham, Sc, 89887', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2836 Unshipment Trce', 'Silver springs, De, 21498', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('244 Ultrabasic Lndng', 'Fuquay varina, Nc, 26921', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('951 Summarisation Mount', 'Indian lake, La, 14849', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2945 Undecylenic Rue', 'Tuppers plains, , 87352', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('191 Rod-bending Rdgs', 'Kirkville, Mn, 79969', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1505 Veltfare Streme', 'Benld, Wi, 97697', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('942 Thanklessly Trls', 'Stedman, Pa, 47855', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1292 Shulman View', 'Silver plume, Ny, 51612', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('611 Halohydrin Rds', 'National city, Mt, 56594', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2439 Replunges Trafficway', 'Beatty, Ct, 50495', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('0 Dorcopsis Sqr', 'St thomas, As, 93689', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('547 Outbabble Ldg', 'Boneville, Ma, 27552', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('936 Angiocardiographic Isle', 'Meadowlands, Nc, 15004', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1981 Unsadistic Lane', 'Guttenberg, Ny, 38073', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('245 Yellow-aproned Ramp', 'Laurys station, Or, 10394', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('284 Teleporting Expw', 'Jacksonport, Wa, 89868', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1051 Odontodynia Well', 'Ritzville, Ny, 40745', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1080 Der Est', 'Pimento, Me, 82360', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1949 Borromini Forks', 'Briggsdale, Ms, 25485', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('926 Semanticists Port', 'Fernley, Pa, 58537', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('457 Egyptiac Curve ', 'Renton, Pr, 36418', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1620 Nimrods Centers ', 'North georgetown, Ut, 40143', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2523 Paliest Grv', 'Porterdale, Wv, 49963', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1929 Self-sow Turnpk', 'Hinckley, Ca, 40288', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1470 Mirth-making Rapid', 'Gause, Ap, 63027', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('241 Ventriloquisms Meadows', 'Whitehall, Co, 14973', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1894 Ochrolite Port', 'West harrison, Vi, 19720', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1888 Steinful Vlly', 'Glide, Wi, 13020', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1009 Lepidopterist Brnch', 'Cabo rojo, Sd, 29260', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2639 Preimagine Shrs', 'Valley view, Mi, 18413', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('180 Self-abhorrence Beach', 'Juncos, Tx, 52918', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1253 Okla Flats', 'Lumberton, , 74066', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2128 Poleaxe Streets', 'Elkridge, Ks, 24982', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2379 Appetition Crest', 'Mohnton, Or, 97030', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2680 Envassal Gatway', 'Poulan, Ok, 12632', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2313 Pressosensitive Pine', 'Elk mountain, Nd, 38738', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2176 Delano Rvr', 'Milford center, As, 62593', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2338 Standpatter Cv', 'Reading center, Il, 20234', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1997 Hyperplastic Str', 'Chambersville, Oh, 81752', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('239 Bruant Bottm', 'Higginsport, Id, 66898', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2478 Nonusurping Jcts', 'Cahone, Ri, 94439', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1101 Hydro Keys', 'Portlandville, Mn, 96541', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1837 Unimaginatively Bypas', 'Mount gay, In, 44798', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2426 Thonotosassa Trnpk', 'Chicago, Me, 20605', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2263 Cruorin Mountin', 'Bobtown, Wa, 69929', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('467 Nonsynonymously Parks', 'Henryetta, Dc, 14667', '');
